iter	Passed	Remaining
0	0	761
1	1	674
2	1	645
3	2	632
4	3	616
5	3	612
6	4	604
7	4	595
8	5	589
9	5	584
10	6	581
11	6	575
12	7	572
13	8	571
14	8	568
15	9	565
16	9	564
17	10	564
18	10	564
19	11	562
20	12	562
21	12	562
22	13	560
23	13	560
24	14	558
25	14	557
26	15	556
27	16	556
28	16	554
29	17	553
30	17	547
31	18	546
32	18	547
33	19	547
34	19	547
35	20	546
36	21	546
37	21	546
38	22	546
39	22	545
40	23	544
41	23	544
42	24	542
43	24	542
44	25	541
45	26	540
46	26	539
47	27	539
48	27	538
49	28	537
50	28	536
51	29	535
52	29	534
53	30	534
54	31	533
55	31	532
56	32	532
57	32	531
58	33	531
59	33	531
60	34	530
61	34	529
62	35	528
63	36	528
64	36	527
65	37	526
66	37	525
67	38	524
68	38	523
69	39	523
70	39	522
71	40	522
72	41	521
73	41	521
74	42	520
75	42	520
76	43	519
77	43	519
78	44	518
79	45	517
80	45	517
81	46	516
82	46	515
83	47	515
84	47	514
85	48	514
86	49	514
87	49	513
88	50	513
89	50	512
90	51	512
91	51	511
92	52	511
93	52	510
94	53	509
95	54	509
96	54	508
97	55	508
98	55	507
99	56	507
100	56	506
101	57	506
102	58	505
103	58	505
104	59	504
105	59	503
106	60	503
107	60	503
108	61	502
109	62	502
110	62	501
111	63	500
112	63	500
113	64	499
114	64	499
115	65	498
116	66	498
117	66	497
118	67	497
119	67	496
120	68	496
121	68	495
122	69	495
123	70	494
124	70	494
125	71	493
126	71	493
127	72	492
128	72	492
129	73	491
130	74	490
131	74	490
132	75	489
133	75	489
134	76	489
135	76	488
136	77	487
137	78	487
138	78	486
139	79	485
140	79	485
141	80	485
142	80	484
143	81	483
144	81	483
145	82	482
146	83	481
147	83	481
148	84	480
149	84	479
150	85	478
151	85	478
152	86	477
153	86	476
154	87	475
155	87	474
156	88	473
157	88	473
158	89	472
159	89	471
160	90	471
161	90	470
162	91	469
163	91	468
164	92	468
165	93	467
166	93	466
167	94	465
168	94	464
169	95	464
170	95	463
171	96	462
172	96	461
173	97	460
174	97	459
175	98	459
176	98	458
177	99	457
178	99	456
179	100	455
180	100	455
181	101	454
182	101	453
183	102	452
184	102	451
185	103	450
186	103	450
187	104	449
188	104	448
189	105	447
190	105	446
191	106	446
192	106	445
193	107	445
194	107	444
195	108	443
196	108	443
197	109	442
198	109	441
199	110	440
200	110	440
201	111	439
202	111	438
203	112	437
204	112	437
205	113	436
206	113	435
207	114	435
208	114	434
209	115	433
210	115	432
211	116	432
212	116	431
213	117	430
214	117	430
215	118	429
216	118	428
217	119	428
218	119	427
219	120	426
220	120	426
221	121	425
222	121	425
223	122	424
224	122	423
225	123	422
226	123	422
227	124	421
228	124	420
229	125	419
230	125	419
231	126	418
232	126	417
233	127	417
234	127	416
235	128	415
236	128	414
237	129	414
238	129	413
239	130	412
240	130	412
241	131	411
242	131	410
243	132	409
244	132	409
245	133	408
246	133	407
247	134	407
248	134	406
249	135	405
250	135	405
251	136	404
252	136	403
253	137	403
254	137	402
255	138	401
256	138	401
257	139	400
258	139	400
259	140	399
260	140	398
261	141	398
262	141	397
263	142	397
264	142	396
265	143	395
266	143	395
267	144	394
268	144	393
269	145	392
270	145	392
271	146	391
272	146	391
273	147	390
274	147	389
275	148	389
276	148	388
277	149	387
278	149	387
279	150	386
280	150	385
281	151	385
282	151	384
283	152	383
284	152	383
285	153	382
286	153	381
287	154	381
288	154	380
289	155	379
290	155	379
291	156	378
292	156	378
293	157	377
294	157	376
295	158	376
296	158	375
297	159	375
298	159	374
299	160	373
300	160	373
301	161	372
302	161	371
303	162	371
304	162	370
305	163	370
306	163	369
307	164	368
308	164	368
309	165	367
310	165	366
311	166	366
312	166	365
313	167	365
314	167	364
315	168	364
316	168	363
317	169	362
318	169	362
319	170	362
320	170	361
321	171	361
322	171	360
323	172	359
324	172	359
325	173	358
326	174	358
327	174	357
328	174	356
329	175	356
330	175	355
331	176	354
332	176	354
333	177	353
334	177	353
335	178	352
336	178	351
337	179	351
338	179	350
339	180	350
340	180	349
341	181	348
342	181	348
343	182	347
344	182	347
345	183	346
346	183	345
347	184	345
348	184	344
349	185	343
350	185	343
351	186	342
352	186	342
353	187	341
354	187	341
355	188	340
356	188	340
357	189	339
358	189	339
359	190	338
360	190	337
361	191	337
362	191	336
363	192	336
364	192	335
365	193	334
366	193	334
367	194	333
368	194	333
369	195	332
370	195	332
371	196	331
372	196	330
373	197	330
374	197	329
375	198	329
376	198	328
377	199	328
378	200	327
379	200	327
380	201	326
381	201	326
382	202	325
383	202	324
384	203	324
385	203	323
386	204	323
387	204	322
388	205	322
389	205	321
390	206	320
391	206	320
392	206	319
393	207	319
394	207	318
395	208	317
396	208	317
397	209	316
398	209	316
399	210	315
400	210	315
401	211	314
402	211	313
403	212	313
404	212	312
405	213	312
406	213	311
407	214	311
408	214	310
409	215	309
410	215	309
411	216	308
412	216	308
413	217	307
414	217	307
415	218	306
416	218	305
417	219	305
418	219	304
419	220	304
420	220	303
421	221	302
422	221	302
423	222	301
424	222	301
425	223	300
426	223	300
427	224	299
428	224	299
429	225	298
430	225	297
431	226	297
432	226	296
433	227	296
434	227	295
435	228	295
436	228	294
437	229	294
438	229	293
439	230	292
440	230	292
441	231	291
442	231	291
443	232	290
444	232	290
445	233	289
446	233	288
447	234	288
448	234	287
449	235	287
450	235	286
451	235	286
452	236	285
453	236	284
454	237	284
455	237	283
456	238	283
457	238	282
458	239	282
459	239	281
460	240	281
461	240	280
462	241	279
463	241	279
464	242	278
465	242	278
466	243	277
467	243	277
468	244	276
469	244	276
470	245	275
471	245	274
472	246	274
473	246	273
474	247	273
475	247	272
476	248	272
477	248	271
478	249	271
479	249	270
480	250	270
481	250	269
482	251	268
483	251	268
484	252	267
485	252	267
486	253	266
487	253	266
488	254	265
489	254	264
490	255	264
491	255	263
492	256	263
493	256	262
494	257	262
495	257	261
496	258	261
497	258	260
498	259	260
499	259	259
500	260	259
501	260	258
502	261	258
503	261	257
504	262	257
505	262	256
506	263	255
507	263	255
508	264	255
509	264	254
510	265	253
511	265	253
512	266	252
513	266	252
514	267	251
515	268	251
516	268	250
517	269	250
518	269	249
519	270	249
520	270	248
521	271	248
522	271	247
523	272	247
524	272	246
525	273	246
526	273	245
527	274	245
528	274	244
529	275	244
530	275	243
531	276	243
532	277	242
533	277	242
534	278	241
535	278	241
536	279	240
537	279	240
538	280	239
539	280	239
540	281	238
541	281	238
542	282	237
543	282	237
544	283	236
545	283	235
546	284	235
547	284	234
548	285	234
549	285	233
550	286	233
551	286	232
552	287	232
553	287	231
554	288	231
555	288	230
556	289	230
557	289	229
558	290	229
559	290	228
560	291	228
